patent,abstract,title
08345102,,"Image processing system and method for object tracking",
08345103,,"Apparatus and method of obtaining 3D image",
08345104,,"System and method for testing image capturing function of an electronic device",
08345105,,"System and method for accessing and utilizing ancillary data with an electronic camera device",
08345106,,"Camera-based scanning",
08345107,,"Display control device, imaging device, and printing device",
08345108,,"Image pickup apparatus and processing method for result of image pickup",
08345109,,"Imaging device and its shutter drive mode selection method",
08345110,,"Image processing apparatus and storage medium",
08345111,,"Image capturing device",
08345112,,"Image pickup apparatus, image capturing system, method for driving image pickup apparatus",
08345113,,"Image processing apparatus and image processing system",
08345114,,"Automatic face and skin beautification using face detection",
08345115,,"Visual occultation to measure refractivity profile",
08345116,,"Noise reduction filter processing circuit, image processing circuit, imaging device, and storage medium storing noise reduction program",
08345117,,"Terminal outputting monochrome image data and color image data",
08345118,,"Image capturing apparatus, image capturing method, album creating apparatus, album creating method, album creating system and computer readable medium",
08345119,,"Image pickup device, image processing method, and storage medium storing program",
08345120,,"Electronic camera with self-adjusting flash and image-capture sensitivity",
08345121,,"Image processing apparatus, method, and program",
08345122,,"Image playback method, music processing method, image playback apparatus, and computer program product",
08345123,,"Image sensing apparatus, registration apparatus, and control method and program therefor",
08345124,,"Digital camera controlled by a control circuit",
08345125,,"Object detection using an in-sensor detector",
08345126,,"Solid-state image pickup element and camera system having mechanism for canceling potential drop on signal line",
08345127,,"Image processing apparatus and method of processing image for reducing noise of the image",
08345129,,"Camera placed behind a display with a transparent backlight",
08345130,,"Denoising CFA images using weighted pixel differences",
08345131,,"High-frame rate image acquisition, processing and display to produce smooth movement",
08345132,,"Image sensor with dual element color filter array and three channel color output",
08345133,,"Photoelectric conversion apparatus and imaging system using the same",
08345134,,"Indium tin oxide gate charge coupled device",
08345135,,"Solid-state image sensing device containing electron multiplication function",
08345136,,"CMOS image sensor",
08345137,,"Solid-state image pickup apparatus and camera with two-dimensional power supply wiring",
08345138,,"Imaging apparatus",
08345139,,"Eyepiece lens for viewfinder",
08345140,,"Image capturing apparatus and method of controlling same",
08345141,,"Camera system, camera body, interchangeable lens unit, and imaging method",
08345142,,"Imaging apparatus",
08345143,,"Image capturing apparatus and image capturing apparatus control method",
08345144,,"Methods and apparatus for rich image capture with focused plenoptic cameras",
08345145,,"Mobile communication terminal and focusing method using the same",
08345146,,"Automatic focus imaging system using out-of-plane translation of an MEMS reflective surface",
08345147,,"Image pickup apparatus",
08345148,,"Method and system for inverse telecine and scene change detection of progressive video",
08345149,,"Imaging apparatus for reading information",
08345150,,"Imaging apparatus",
08345151,,"Image processing apparatus and image processing method",
08345152,,"Shutter for CCD imager",
08345153,,"Camera system and its control method",
08345154,,"Accessory connecting shelf for video and camera",
08345155,,"Integrated circuit comprising deflicker unit for filtering image data, and a method therefor",
08345156,,"Progressive scanning conversion apparatus and progressive scanning conversion method",
08345157,,"Image processing apparatus and image processing method thereof",
08345158,,"Merging video with time-decimated high-resolution imagery to form high-resolution video frames",
08345159,,"Captioning evaluation system",
08345160,,"Synchronous signal conversion circuit, signal processing system including it, and synchronous signal conversion method",
08345161,,"Signal processing device, and image output device",
08345162,,"Systems and methods for triggering an out of focus alert",
08345163,,"Image processing device and method and image display device",
08345164,,"Video switching apparatus and video input setting method",
08345165,,"Audio video system, control apparatus, output apparatus, and program",
08345166,,"Broadcast receiving circuit and broadcast receiving apparatus",
08345167,,"Methods of storing and accessing pictures",
08345168,,"Digital broadcast receiver unit",
08345169,,"Signal transmitter and signal receiver",
08345170,,"Display device and its control method",
08345171,,"Changing channels in a digital broadcast system",
08345172,,"Video display device and light source driving method thereof",
08345173,,"Thin film transistor substrate, display device having the same and method of manufacturing the same",
08345174,,"Liquid crystal display panel and related device",
08345175,,"Array substrate for liquid crystal display device and method of manufacturing the same",
08345176,,"Liquid crystal display device",
08345177,,"Via design for use in displays",
08345178,,"Liquid crystal display and repairing method thereof",
08345179,,"Flat panel display module",
08345180,,"Backlight module with metallic bracket connecting with the metallic beam of the frame and liquid crystal display device using the same",
08345181,,"Light emitting device and liquid crystal display device",
08345182,,"Liquid crystal display device",
08345183,,"Backlight unit and image display apparatus employing the same",
08345184,,"Surface light source apparatus",
08345185,,"Color mixing lens and liquid crystal display device having the same",
08345186,,"Illumination device and liquid crystal display device",
08345187,,"Liquid crystal display device",
08345188,,"Illumination device and liquid crystal display device",
08345189,,"Diffractive display device, finder device and camera",
08345190,,"Polarization optical system and projection-type liquid-crystal display device",
08345191,,"Liquid crystal display device having optical component for changing state of polarized light",
08345192,,"Multiple cell gaps transreflective LCD and fabricating method thereof",
08345193,,"Flexible electronic device and flexible display device",
08345194,,"Liquid crystal lens and manufacturing method thereof",
08345195,,"Liquid crystal display",
08345196,,"Liquid crystal display",
08345197,,"Liquid crystal display device",
08345198,,"Transflective liquid crystal display device and color liquid crystal display device",
08345199,,"Liquid crystal display device",
08345200,,"Liquid crystal display device having organic alignment layer and fabrication method thereof",
08345201,,"Alignment film material comprising polyimide and a vinyl-type monomer, alignment film comprising polyimide and polyvinyl compound, method of forming the alignment film, and liquid crystal display having the same",
08345202,,"Antiglare film, manufacturing method thereof, and transmissive liquid crystal display",
08345203,,"Display device and manufacturing method thereof",
08345204,,"Liquid crystal display",
08345205,,"Liquid Crystal display device",
08345206,,"Liquid crystal display",
08345207,,"Thin film transistor array substrate and liquid crystal display device",
08345208,,"Display substrate and display panel having the same",
08345209,,"Display device",
08345210,,"Gate signal transmission circuit structure",
08345211,,"Display apparatus and manufacturing method therefor, and active matrix substrate",
08345212,,"Plane switching type liquid crystal display device having ball spacers formed on a barrier between the gate line and the common line",
08345213,,"Liquid crystal device, method of manufacturing liquid crystal device and electronic apparatus",
08345214,,"Cooling device of electronic apparatus and liquid crystal projector equipped with same including ducts communicating with respective openings",
08345215,,"Optical means for calibrating temperature",
08345216,,"Substrate conveyance device and substrate conveyance method, exposure apparatus and exposure method, device manufacturing method",
08345217,,"Liquid recovery member, exposure apparatus, exposing method, and device fabricating method",
08345218,,"Immersion lithographic apparatus, drying device, immersion metrology apparatus and device manufacturing method",
08345219,,"Method and apparatus for setting an illumination optical unit",
08345220,,"Aberration measurement method, exposure apparatus, and device manufacturing method",
08345221,,"Aberration measurement method, exposure apparatus, and device manufacturing method",
08345222,,"High transmission, high aperture catadioptric projection objective and projection exposure apparatus",
08345223,,"Optical element, lithographic apparatus including such an optical element, device manufacturing method, and device manufactured thereby",
08345224,,"Methods and devices for driving micromirrors",
08345225,,"Controllable radiation lithographic apparatus and method",
08345226,,"Spectrometers miniaturized for working with cellular phones and other portable electronic devices",
08345227,,"Measuring volume and constituents of cells",
08345228,,"Measuring device and method for determining optical characteristic variables for verifying photochemical and electrochemical degradative reactions",
08345229,,"Long distance optical fiber sensing system and method",
08345230,,"Illumination apparatus and reflective characteristics measuring apparatus employing the same",
08345231,,"Method of determining defects in a substrate and apparatus for exposing a substrate in a lithographic process",
08345232,,"Optical inspection system and method",
08345233,,"Inspection apparatus and inspection method",
08345234,,"Self calibration methods for optical analysis system",
08345235,,"Measurement of sample reflectance",
08345236,,"Method and apparatus for determining the particles contained in a particle stream",
08345237,,"Optical information analyzing device and optical information analyzing method",
08345238,,"Measuring optical spectral property of light based on polarization analysis",
08345239,,"System and method for monitoring birefringent particles in a fluid",
08345240,,"Rotation detection kit",
08345241,,"Application of digital light processor in imaging ellipsometer and the like systems",
08345242,,"Optical system for use in stage control",
08345243,,"Overlay metrology target",
08345244,,"Exposure apparatus",
08345245,,"Lithographic apparatus with multiple alignment arrangements and alignment measuring method",
08345246,,"Running yarn line inspection method and carbon fiber manufacturing method using thereof",
08345247,,"Device for detecting signs of bacterial infection of the root channel of teeth",
08345248,,"Optical cavity enhanced turbidimeter and turbidity measuring method",
08345249,,"Liquid sample analyzing method",
08345250,,"System and method for detecting chemical species from a remote sensing platform",
08345251,,"Thin-layer porous optical sensors for gases and other fluids",
08345252,,"Method and system for enhanced formulation and visualization rendering",
08345253,,"System and method for surface plasmon resonance based detection of molecules",
08345254,,"Multiple pass imaging spectroscopy",
08345255,,"Solar concentrator testing",
08345256,,"Method for calibrating interpixel gains of an interferometer",
08345257,,"Swept source optical coherence tomography (OCT) method and system",
08345258,,"Synchronous frequency-shift mechanism in fizeau interferometer",
08345259,,"Cylindrical grating rotation sensor",
08345260,,"Method of detecting a movement of a measuring probe and measuring instrument",
08345261,,"Optical coherence tomography imaging",
08345262,,"Method and apparatus for determining a deviation of an actual shape from a desired shape of an optical surface",
08345263,,"Measurement method and measurement apparatus that measure a surface figure of an aspheric surface based on an interference pattern",
08345264,,"Laser reflection optical fiber sensor",
08345265,,"Lithographic apparatus and methods for compensating substrate unflatness, determining the effect of patterning device unflatness, and determining the effect of thermal loads on a patterning device",
08345266,,"Method and system for measuring wear in the lining of a vessel",
08345267,,"Apparatus for microlithographic projection exposure and apparatus for inspecting a surface of a substrate",
08345268,,"Beam irradiation device",
08345269,,"Method and apparatus for measuring the width of composite tape",
08345270,,"Print data generation apparatus and computer-readable medium storing print data generation program",
08345271,,"Printing control apparatus for assigning parameter selections to specific keys",
08345272,,"Methods and systems for third-party control of remote imaging jobs",
08345273,,"Information processing apparatus for managing an expansion module, control method therefor, and program for executing the method",
08345274,,"Imaging device and method of controlling the same",
08345275,,"Image forming apparatus for replacing page data expressed by unsupported format",
08345276,,"Printing priority jobs when sheet count is limited",
08345277,,"Print-item setting server apparatus, print-item setting method, and computer program product",
08345278,,"Job processing system, job processing apparatus, and control method thereof",
08345279,,"System for establishing event rules for sales management databases",
08345280,,"Image forming apparatus and method to search for and print images on network",
08345281,,"Image processing device setting conflict determination",
08345282,,"Image forming system and image forming apparatus",
08345283,,"Communication system and communication device",
08345284,,"Information processing system, information processing device, and computer-readable record medium storing information processing program",
08345285,,"Displaying jobs in priority order with elapsed time on information processing apparatus",
08345286,,"Printing system and information processing apparatus includes a first printer driver and a printer driver acquisition unit acquiring the second printer driver",
08345287,,"Image scanning apparatus and image scanning method",
08345288,,"Image forming system and image forming apparatus",
08345289,,"Automated document processing audit system with cost tracking and estimation system, apparatus and method",
08345290,,"Apparatus for determining facsimile transmission authorizer and facsimile machine having the apparatus",
08345291,,"Data communication apparatus, control method thereof, and computer readable storage medium",
08345292,,"Information processing apparatus, information processing apparatus control method, and storage medium",
08345293,,"Print system and printer device facilitating reuse of print data",
08345294,,"Document administration system, document administration apparatus, and recording medium",
08345295,,"Device and method for controlling initialization of image forming apparatus using NAND flash memory",
08345296,,"Image processing apparatus for determining appropriateness of combination of control software, activation method, and storage medium storing control program that causes computer to perform the method",
08345297,,"Data communication system including address management apparatus and data communication apparatus, address management method using address management apparatus, and address management program controlling address management apparatus",
08345298,,"Print control apparatus, for performing a printing operation by reusing rendering completed data",
08345299,,"Image forming apparatus and method for printing index sheets by selecting image files stored in a plurality of directories",
08345300,,"Computer readable medium, document processing apparatus, document processing system, and document processing method for managing electronic documents",
08345301,,"Orthogonality correction employing substituted image data",
08345302,,"Image processing method",
08345303,,"Image processing apparatus",
08345304,,"Image processing apparatus, image processing method, and image processing control program capable of processing document data",
08345305,,"Image-processing device and image-processing method",
08345306,,"Handheld image translation device including an image capture device",
08345307,,"Image stitching for a multi-head printer",
08345308,,"Image forming apparatus and method of combining processing modes",
08345309,,"Secure printing-out using color toner and particular toner",
08345310,,"Halftone frequency determination method and printing apparatus",
08345311,,"Reduction of harmonic artifacts in halftone screens",
08345312,,"Method of printing a text with an apparatus using channels",
08345313,,"Image forming apparatus, method and control program, for enabling image formation of a valid print object while disabling image formation of an invalid print object on a page including a plurality of print objects",
08345314,,"Methods and systems to embed glossmark digital watermarks into continuous-tone images",
08345315,,"Method and device for making documents secure using unique imprint derived from unique marking variations",
08345316,,"Layered security in digital watermarking",
08345317,,"Copying apparatus",
08345318,,Scanner,
08345319,,"Image reading apparatus",
08345320,,"Image reading device and image forming apparatus having the same",
08345321,,"Image input and output using scan-all-first input mode",
08345322,,"Scanning apparatus having dual power mode",
08345323,,"Image reading lens system and image reading apparatus",
08345324,,"Image reading device",
08345325,,"Segmented reflective optical system",
08345326,,"Bill processing machine",
08345327,,"Image reading apparatus",
08345328,,"Scanner with auto document feeder",
08345329,,"Systems and methods for improving image quality in image forming devices",
08345330,,"Document reading apparatus",
08345331,,"Image reading apparatus, multifunction printer apparatus, and image processing method",
08345332,,"Image processing system, image processing apparatus, and image processing method",
08345333,,"Displacement/distortion measuring method and displacement/distortion measuring apparatus",
08345334,,"Mastering and replication of micro-holographic data storage media",
08345335,,"All-optical reconfigurable cascadable logic with linear preprocessing by lightwave interference and post-processing by nonlinear phase erasure",
08345336,,"MEMS scanning micromirror with reduced dynamic deformation",
08345337,,"Polygon mirror device with discontinuous angles of reflections",
08345338,,"Method of modifying color composition for a color-blind person in a mobile displaying apparatus",
08345339,,"Optical deflector",
08345340,,"Method of adjusting a resonance frequency of an optical scanning device",
08345342,,"Multilayer structure having a photochromic host matrix and manufacturing method",
08345343,,"Reflective display device",
08345344,,"Multicolor photovoltaic electrochromic apparatus",
08345345,,"Electrochromic device having an improved fill port plug",
08345346,,"Electrophoretic display",
08345347,,"Electrophoretic display device and electronic device",
08345348,,"Method and optical gain fiber having segments of differing core sizes",
08345349,,"Compact optical resonators",
08345350,,"Chromatically corrected objective with specifically structured and arranged dioptric optical elements and projection exposure apparatus including the same",
08345351,,"Portable microscope system with an independent control unit",
08345352,,"Polarization-maintaining reflector arrangement",
08345353,,"Long-length lens",
08345354,,"Lens for projection and projection-type display apparatus",
08345355,,"Lens and method for manufacturing same",
08345356,,"Objective lens, optical pickup device, and optical recording/reproducing apparatus",
08345357,,"Optical system, image projection apparatus including the same and an image pickup device",
08345358,,"Image-capturing optical lens assembly",
08345359,,"Lens system",
08345360,,"Camera unit and macro lens thereof",
08345361,,"Projecting device and lens adjusting module thereof",
08345362,,"Lens holder and camera module using the same",
08345363,,"Drive device, lens part, and camera module",
08345364,,"Optical limiting using plasmonically enhancing nanoparticles",
08345365,,"Data processing system having data reproduction independent of data processing",
08345366,,"Storage drive performance characterization",
08345367,,"Recording defects on a hard drive",
08345368,,"Bipolar position error bursts with unipolar servo fields",
08345369,,"Systems and methods for data recovery using enhanced sync mark location",
08345370,,"Magnetic disk drive and refresh method for the same",
08345371,,"Information storing device and method for controlling same to record/reproduce information by selecting one of working modes",
08345372,,"Apparatus for a medium having a medium identification pattern and a segment identification pattern",
08345373,,"Systems and methods for phase offset based spectral aliasing compensation",
08345374,,"Patterned media for heat assisted magnetic recording",
08345375,,"Storage apparatus, carriage shifting method and program thereof",
08345376,,"Magnetic disk device, magnetic disk, and magnetic disk manufacturing method",
08345377,,"Aerodynamic device directing pressurized airflow to ports in the device for aerostatic sealing in a hard disk drive(HDD)",
08345378,,"Air pump in a hard disk drive (HDD)",
08345379,,"Disk drive device equipped with a bearing unit relatively rotatably supporting a hub against base member",
08345380,,"Spin torque oscillator and magnetic recording head and magnetic recording device mounted with the spin torque oscillator",
08345381,,"Magnetic head for perpendicular magnetic recording having a return path section",
08345382,,"Magnetic head for perpendicular magnetic recording having a main pole and a shield and specifically structured and located coil elements and magnetic coupling layers",
08345383,,"Method to make an integrated side shield PMR head with non-conformal side gap",
08345384,,"Magnetic head for perpendicular magnetic recording having a main pole and a shield",
08345385,,"Shield with continuously concave inner sidewall",
08345386,,"Bearing device and information recording and reproducing apparatus",
08345387,,"Disk drive with transverse plane damper",
08345388,,"Perpendicular recording device having reduced sensitivity to external fields",
08345389,,"Magnetoresistive element utilizing a peltier effect junction of Au and CuNi to cool the element",
08345390,,"Magnetoresistive effect element in CPP-type structure and magnetic disk device",
08345391,,"DC/DC converter overcurrent protection",
08345392,,"Quench energy dissipation for superconducting magnets",
08345393,,"Exterior primary fuse system for transformers",
08345394,,"ESD protection circuit for a switching power converter",
08345395,,"Electrostatic discharge protection circuit having a reduced size and enhanced discharge",
08345396,,"Electrostatic discharge protectors having increased RC delays",
08345397,,"Sensor control apparatus and sensor control method",
08345398,,"Integrated variable output power supply protection circuit",
08345399,,"Electrical protection assembly and system",
08345400,,"Surge suppression circuit for a load control device",
08345401,,"Semiconductor device",
08345402,,"Degaussing apparatus with highly uniform magnetic field",
08345403,,"Portable HVAC solenoid power kit",
08345404,,"Anti-static part and its manufacturing method",
08345405,,"Multilayer ceramic capacitor",
08345406,,"Electric double layer capacitor",
08345407,,"Low viscosity ionic liquids",
08345408,,"Method for producing solid electrolytic capacitor",
08345409,,"Solid electrolytic capacitor",
08345410,,"Handheld computing device",
08345411,,"Information handling system support member",
08345412,,"Wrist band for portable electronic devices",
08345413,,"Apparatus for controlling inclination of organic light emitting display panel",
08345414,,"Wearable computing module",
08345415,,"Display apparatus",
08345416,,"Portable electronic device with interface protector",
08345417,,"Extension positioning structure for a portable memory device",
08345418,,"Cooling configuration for communication boards",
08345419,,"Server assembly",
08345420,,"Battery assembly for battery powered portable devices",
08345421,,"Removable cover assembly for sealing opening of housing",
08345422,,"Latching mechanism and electronic device using same",
08345423,,"Interleaved, immersion-cooling apparatuses and methods for cooling electronic subsystems",
08345424,,"Optical interconnection device",
08345425,,"Cooling system and electronic apparatus applying the same therein",
08345426,,"Guide system for a card module",
08345427,,"Module having at least two surfaces and at least one thermally conductive layer therebetween",
08345428,,"Data acquisition module and system",
08345429,,"Mobile terminal having detachable sub-module",
08345430,,"IC card",
08345431,,"Thin multi-chip flex module",
08345432,,"Electronic device with slim button",
08345433,,"Heterogeneous organic laminate stack ups for high frequency applications",
08345434,,"High frequency circuit having multi-chip module structure",
08345435,,"Terminal structure and manufacturing method thereof, and electronic device and manufacturing method thereof",
08345436,,"Printed wiring board and connection configuration of the same",
08345437,,"Connection structure and connection method of wiring board",
08345438,,"Electronic part module and method of making the same",
08345439,,"Modular chassis arrangement with redundant logic power delivery system",
08345440,,"Industrial module assembling apparatus",
08345441,,"Stub minimization for multi-die wirebond assemblies with parallel windows",
08345442,,"Latching structure of electronic device",
08345443,,"Supporting frame for circuit board",
08345444,,"Structure with electronic component mounted therein and method for manufacturing such structure",
08345445,,"Heat sink assembly for a pluggable module",
08345446,,"Fastening structure for portable electronic device",
08345447,,"Mounting apparatus for expansion cards",
08345448,,"Mobile terminal having noise shielding structure for electronic circuit board",
08345449,,"Cable-based mounting system",
08345450,,"Resonant converter having over-current protection apparatus and controlling method thereof",
08345451,,"DC to AC converter that generates the sine wave from the pulse width modulated signal",
08345452,,"Universal power converter with bidirectional switching devices",
08345453,,"Power conversion apparatus for electric vehicle",
08345454,,"Architecture and control method for dynamically conditioning multiple DC sources to driven an AC load",
08345455,,"Device and method for controlling high voltage inverter by using neutral point",
08345456,,"Control system of a power factor correction circuit",
08345457,,"Voltage source converter for high voltage direct current power transmission",
08345458,,"Semiconductor device",
08345459,,"Architecture to facilitate reuse in multiple applications",
08345460,,"Semiconductor memory device",
08345461,,"Ferroelectric capacitor and its manufacturing method",
08345462,,"Resistive memory and method for manufacturing the same",
08345463,,"Resistive memory device and method for fabricating the same",
08345464,,"Resistive memory devices having a stacked structure and methods of operation thereof",
08345465,,"Driving method of variable resistance element, initialization method of variable resistance element, and nonvolatile storage device",
08345466,,"Nonvolatile semiconductor memory device adjusting voltage of lines in a memory cell array",
08345467,,"Resistive memory devices including selected reference memory cells operating responsive to read operations",
08345468,,"Capacity and density enhancement circuit for sub-threshold memory unit array",
08345469,,"Static random access memory (SRAM) having bit cells accessible by separate read and write paths",
08345470,,"Semiconductor memory device",
08345471,,"Magneto-resistance element and semiconductor memory device including the same",
08345472,,"Three-terminal ovonic threshold switch as a current driver in a phase change memory",
08345473,,"Ferromagnetic thin wire element",
08345474,,"Magnetic memory devices including magnetic layers having different products of saturated magnetization and thickness and related methods",
08345475,,"Non volatile cell and architecture with single bit random access read, program and erase",
08345476,,"Multi-level cell programming speed improvement through program level exchange",
08345477,,"Non-volatile memory devices having uniform error distributions among pages",
08345478,,"Use of emerging non-volatile memory elements with flash memory",
08345479,,"Three dimensional stacked nonvolatile semiconductor memory",
08345480,,"Semiconductor integrated circuit device for driving liquid crystal display",
08345481,,"NAND based NMOS NOR flash memory cell, a NAND based NMOS NOR flash memory array, and a method of forming a NAND based NMOS NOR flash memory array",
08345482,,"Methods for segmented programming and memory devices",
08345483,,"System and method for addressing threshold voltage shifts of memory cells in an electronic product",
08345484,,"Nonvolatile memory device and system, and method of programming a nonvolatile memory device",
08345485,,"Erase ramp pulse width control for non-volatile memory",
08345486,,"Programming a memory device to increase data reliability",
08345487,,"Method of setting read voltage minimizing read data errors",
08345488,,"Flash memory array of floating gate-based non-volatile memory cells",
08345489,,"Caching scheme synergy for extent migration between tiers of a storage system",
08345490,,"Split voltage level restore and evaluate clock signals for memory address decoding",
08345491,,"Memory cell write",
08345492,,"Memory controller for detecting read latency, memory system and test system having the same",
08345493,,"Semiconductor memory device",
08345494,,"Semiconductor memory device",
08345495,,"Test circuit, nonvolatile semiconductor memory appratus using the same, and test method",
08345496,,"Memory test apparatus and testing method",
08345497,,"Internal bypassing of memory array devices",
08345498,,"Sense amplifier",
08345499,,"Semiconductor device",
08345500,,"Memory having a disabling circuit and method for disabling the memory",
08345501,,"Semiconductor memory device correcting fuse data and method of operating the same",
08345502,,"Internal voltage generating circuit of phase change random access memory device and method thereof",
08345503,,"Booster circuit and semiconductor memory",
08345504,,"Data-aware dynamic supply random access memory",
08345505,,"Method and apparatus of addressing a memory integrated circuit",
08345506,,"Semiconductor memory device",
08345507,,"Storage device, substrate, liquid container, system and control method of storage device",
08345508,,"Large area modular sensor array assembly and method for making the same",
08345509,,"System and method to create three-dimensional images of non-linear acoustic properties in a region remote from a borehole",
08345510,,"Method for aquiring and processing marine seismic data to extract and constructively use the up-going and down-going wave-fields emitted by the source(s)",
08345511,,"Blazed array for broadband transmission/reception",
08345512,,"Capacitive micromachined ultrasonic transducer (cMUT) device and method of controlling the same",
08345513,,"Stacked transducing devices",
08345514,,"Radio-controlled timepiece and method of assembling the same",
08345515,,"Deflection optical element, optical recording head and optical recording apparatus",
08345516,,"Magneto-optical switching device and method for switching a magnetizable medium",
08345517,,"Method and apparatus for aligning a laser diode on a slider",
08345518,,"Near field optical recording system having negative index of refraction structure",
08345519,,"Method and system for providing a suspension head bond pad design",
08345520,,"Method of vertical deviation disc detection",
08345521,,"Optical disc apparatus and signal generation method",
08345522,,"Flexible optical write strategy",
08345523,,"Method and apparatus for optimizing optical recording",
08345524,,"Information readout apparatus",
08345525,,"Disc recording medium, disk drive apparatus, reproduction method, and disk manufacturing method",
08345526,,"Non-binary holograms for increased capacity",
08345527,,"Optical phase controller and optical phase control method",
08345528,,"Optical pickup device",
08345529,,"Optical pickup apparatus with astigmatism correcting collimating lens",
08345530,,"Objective lens and optical pickup apparatus using the same",
08345531,,"Selecting a transmission technology",
08345532,,"Transmitting device and method for transmitting signals in a wireless communication system, receiving device and method for receiving signals in a wireless communication system",
08345533,,"Frame synchronization techniques",
08345534,,"Scalable MIMO-OFDM PHY for high throughput WLANS",
08345535,,"Method and apparatus for generating ranging preamble code in wireless communication system",
08345536,,"Multicast high availability enhancements for non-stop forwarding",
08345537,,"Methods and systems for automatically rerouting logical circuit data from a logical circuit failure to a dedicated backup circuit in a data network",
08345538,,"Apparatus and method for finding a pair of disjoint paths in a communication network",
08345539,,"Addressing of redundant subscribers in a communication network",
08345540,,"Virtual snooping bridge in computer networks",
08345541,,"Providing services in case of call diversion in a communication system",
08345542,,"Method of M:1 protection",
08345543,,"Methods and systems for automatically rerouting logical circuit data",
08345544,,"Information processing system and method, information management apparatus and method, information processing apparatus and method, recording medium, and program product",
08345545,,"Methods and systems for rate matching and rate shaping in a wireless network",
08345546,,"Dynamic machine-to-machine communications and scheduling",
08345547,,"Channel access mechanism for wide channels used in overlapping networks",
08345548,,"Method of switching fabric for counteracting a saturation tree occurring in a network with nodes",
08345549,,"Techniques for channel access and transmit queue selection",
08345550,,"Coaxial network communication node and methods for communicating within a MoCA network with reduced-length cyclic prefixes",
08345551,,"Transmission rate control method and communication device",
08345552,,"Virtual connection route selection apparatus and techniques",
08345553,,"Apparatus and methods for reduction of transmission delay in a communication network",
08345555,,"Method for routing ad-hoc signals",
08345556,,"Congestion control system, service edge node, guidance server, congestion control method, program therefor, and recording medium recorded therewith",
08345557,,"Automated monitoring of a network",
08345558,,"Packet-based memory test of a network device",
08345559,,"MPLS diagnostics tool",
08345560,,"Methods and apparatus to pre-qualify user communities for communication services",
08345561,,"Time monitor",
08345562,,"Transmitting apparatus, receiving apparatus and multiplex number controlling method",
08345563,,"Wireless communication system, data transmission method for uplink thereof, base station device, and mobile station device",
08345564,,"Universal plug and play method and apparatus to provide remote access service",
08345565,,"Method and system for operating a wireless access point in the presence of bursty interference",
08345566,,"Apparatus and method for transmitting and receiving information through fast feedback channel in broadband wireless communication system",
08345567,,"Route data collection technique in network",
08345568,,"Low loss layer two ethernet network",
08345569,,"Multiple watermarks for fidelity assessment",
08345570,,"Network impairment metrics for timing over packet",
08345571,,"Method for transmitting channel information and mobile communication terminal",
08345572,,"Communication apparatus and communication system",
08345573,,"Communication quality estimation system, equipment, method and program",
08345575,,"Traffic analysis apparatus and analysis method",
08345576,,"Methods and systems for dynamic subring definition within a multi-ring",
08345577,,"High speed wireless infrastructure",
08345578,,"Methods for configuring sender and receiver antennas, corresponding storage means and nodes",
08345579,,"Relay device suppressing frame flooding",
08345580,,"Method and arrangement for virtual meeting",
08345581,,"Communication system",
08345582,,"Mobile communications system, base station apparatus, user apparatus and method",
08345583,,"Method for enhancing ethernet channel impairment and apparatus using the same",
08345584,,"Wireless local area network and access point for a wireless local area network",
08345585,,"Method for optimizing the allocation of resources in a cellular network using a shared radio transmission link, network and network adapters thereof",
08345586,,"Wireless data communication system and method",
08345587,,"Relay station, base station and method for extending a coverage area of a base station in a radio network",
08345588,,"Apparatus and method for wireless communication",
08345589,,"Method and apparatus for determining timing for initial ranging of user equipment using ranging of adjacent pieces of user equipment in multi-hop mobile relay system",
08345590,,"Wireless communication system and wireless communication method for switching wireless channels",
08345591,,"Method and system for utilizing plurality of physical layers to retain quality of service in a wireless device during a communication session",
08345592,,"Method and arrangement for reducing power consumption in user equipments in multi-carrier radio systems",
08345593,,"Dynamic discovery of home agent with specific binding",
08345594,,"Method of executing handover between heterogeneous networks and method of supporting the same",
08345595,,"Sector-based quality-of-service enforcement",
08345596,,"Call control method for seamless mobility service",
08345597,,"Systems and methods for detecting spread spectrum signals in an area of interest",
08345598,,"Mobility management method and network device",
08345599,,"Pre-evaluation of multiple network access points",
08345600,,"Reducing processing resources incurred by a user interface",
08345601,,"Method for creating a peer-to-peer immediate messaging solution without using an instant messaging server",
08345602,,"Wireless communication system, transmitting device and receiving device",
08345603,,"Method and apparatus for processing GTP triggered messages",
08345604,,"Effectuating establishment of internet protocol security tunnels for utilization in a wireless communication environment",
08345605,,"Transmission of bundled feedback in wireless networks",
08345606,,"Methods and apparatus for data transfer in a packet-switched data network",
08345607,,"Coexistence and collocation of remote network and local network radios",
08345608,,"System and method for transmitting downlink schedule in WiMax/WiBro relay system",
08345609,,"System, apparatus and method for proactively re-assessing the availability and quality of surrounding channels for infrastructure operation in wireless mesh nodes",
08345610,,"Method and apparatus for mapping pilot signals in multiplexing mode of unicast and broadcast/multicast services",
08345611,,"Method of transmitting a data block in a wireless communication system",
08345612,,"System and method for communicating using internet protocol",
08345613,,"Enhanced UL rate violation detection",
08345614,,"Single channelization code HARQ feedback for DC-HSDPA +MIMO",
08345615,,"Omitting UE id on an enhanced RACH process",
08345616,,"Scheduling communications in a mobile device",
08345617,,"Sending an uplink order to active set base stations",
08345618,,"Data transmission method in a multi-carrier system, and transmitter",
08345619,,"Mobile station apparatus and communication method",
08345620,,"Method and apparatus for frequency hopping with frequency fraction reuse",
